hora,cantidad
hora,7
20:36,69
20:54,170
20:53,113
20:52,151
20:51,78
20:50,159
20:49,86
20:48,203
20:47,147
20:16,112
20:41,113
20:28,70
20:39,149
20:00,151
20:31,158
20:25,110
20:15,84
20:45,140
20:43,85
20:44,80
20:14,63
20:37,133
20:42,73
20:10,107
20:09,143
20:35,95
20:08,87
20:40,144
20:27,117
20:26,104
20:24,54
20:19,69
20:18,87
20:12,60
20:32,96
20:06,37
20:46,91
20:38,60
20:34,50
20:30,131
20:29,133
20:17,78
20:13,66
20:11,46
20:20,108
20:33,67
20:23,87
20:22,112
20:07,68
20:05,68
20:01,84
20:21,67
20:04,59
20:03,77
20:02,76
20:55,127
20:56,121
20:57,186
20:58,221
20:59,367
21:00,441
21:01,547
21:02,422
21:03,297
21:04,403
21:05,527
21:06,282
21:07,119
21:08,92
21:09,144
21:10,178
21:11,187
21:12,146
21:13,172
21:14,177
21:15,128
21:16,132
21:17,216
21:18,195
21:19,216
21:20,167
21:21,169
21:22,199
21:23,238
21:24,200
21:25,217
21:26,247
21:27,237
21:28,218
21:29,163
21:30,192
21:31,143
21:32,80
21:33,7
21:36,334
21:35,305
21:37,242
21:38,278
21:39,244
21:40,249
21:41,229
21:42,126
21:43,188
21:44,145
21:45,19
